PROBEID	SYMBOL	logFC	P.Value	adj.P.Val
210381_s_at	CCKBR	-2.206600167	1.39E-40	5.79E-36
241672_at	SERTM1	-2.996492423	2.18E-40	5.79E-36
1556351_at	HCN1	-3.909269963	6.57E-40	7.18E-36
221288_at	GPR22	-2.49897724	6.75E-40	7.18E-36
230765_at	NWD2	-3.280693312	5.89E-39	5.22E-35
211616_s_at	HTR2A	-3.038155023	9.95E-39	7.55E-35
215241_at	ANO3	-3.814483493	1.15E-38	7.66E-35
237384_x_at	KCTD16	-3.333429272	2.27E-38	1.28E-34
244130_at	HTR2A	-3.843828101	2.59E-38	1.28E-34
1554526_at	OLFM3	-3.446287695	2.65E-38	1.28E-34
37566_at	PHF24	-2.651838406	2.89E-38	1.28E-34
244111_at	KRT222	-2.606699337	5.28E-38	2.16E-34
1557107_at	SLC26A4-AS1	-2.544167181	8.59E-38	3.06E-34
217250_s_at	CHD5	-2.312713457	8.62E-38	3.06E-34
52837_at	SHISAL1	-2.540384352	9.68E-38	3.22E-34
230137_at	SMIM43	-3.527842007	1.48E-37	4.63E-34
206384_at	CACNG3	-3.116471827	1.66E-37	4.89E-34
241500_at	CDH8	-2.600894214	2.00E-37	5.59E-34
229925_at	SLC6A17	-1.609966311	5.46E-37	1.45E-33
233499_at	LRRC7	-3.742805875	6.15E-37	1.56E-33
206456_at	GABRA5	-5.133939695	8.01E-37	1.94E-33
218678_at	NES	2.768512095	1.19E-36	2.70E-33
230680_at	SLITRK4	-3.074024107	1.22E-36	2.70E-33
1554633_a_at	MYT1L	-3.497161205	1.37E-36	2.91E-33
224650_at	MAL2	-4.627800035	1.42E-36	2.91E-33
229818_at	SVOP	-3.01141203	1.50E-36	2.95E-33
206084_at	PTPRR	-2.934314948	1.65E-36	3.12E-33
202252_at	RAB13	2.241198057	2.19E-36	3.97E-33
233910_at	TMEFF2	-1.649371569	2.24E-36	3.97E-33
235591_at	SSTR1	-3.345814424	2.51E-36	4.30E-33
210232_at	CDC42	-2.637146286	2.65E-36	4.40E-33
220294_at	KCNV1	-2.684195655	2.99E-36	4.82E-33
215052_at	FRMPD4	-2.034513118	3.21E-36	5.01E-33
210315_at	SYN2	-3.575982089	3.31E-36	5.03E-33
210650_s_at	PCLO	-2.931230614	3.51E-36	5.19E-33
230923_at	TAFA1	-4.064947993	4.34E-36	6.24E-33
229084_at	CNTN4	-2.694686316	5.85E-36	8.19E-33
219752_at	RASAL1	-1.711939714	6.31E-36	8.48E-33
242789_at	PDE1A	-3.185348028	6.46E-36	8.48E-33
242674_at	EIF4E	-1.749886077	6.54E-36	8.48E-33
206275_s_at	MICAL2	-2.485543133	6.98E-36	8.83E-33
1554524_a_at	OLFM3	-3.288531887	8.00E-36	9.89E-33
1555310_a_at	PAK6	-2.035577546	1.14E-35	1.37E-32
243681_at	SHANK2	-3.018074255	1.16E-35	1.37E-32
244118_at	GABRA1	-3.924812435	1.21E-35	1.40E-32
214998_at	AAK1	-2.744293374	1.27E-35	1.44E-32
220045_at	NEUROD6	-1.720523648	1.75E-35	1.93E-32
219140_s_at	RBP4	-3.17537345	2.65E-35	2.85E-32
231783_at	CHRM1	-3.232814021	2.68E-35	2.85E-32
207135_at	HTR2A	-3.084978178	3.02E-35	3.11E-32
228550_at	RTN4R	-2.349815191	3.05E-35	3.11E-32
242404_at	GNB5	-2.760909536	3.12E-35	3.13E-32
213636_at	PHF24	-2.85734276	3.45E-35	3.39E-32
215267_s_at	SLC8A2	-1.870754954	4.07E-35	3.93E-32
1552666_a_at	LRRC7	-1.932504014	4.30E-35	4.08E-32
232426_at	SV2B	-2.97625849	5.51E-35	5.14E-32
239767_at	LRRC7	-3.935718425	7.28E-35	6.67E-32
210227_at	DLGAP2	-3.230829773	1.02E-34	9.21E-32
238747_at	CACNA1E	-2.579981332	1.13E-34	1.00E-31
228795_at	PRKCB	-2.382825677	1.33E-34	1.16E-31
219937_at	TRHDE	-3.383672419	1.63E-34	1.39E-31
207463_x_at	PRSS3	-1.698958728	1.75E-34	1.47E-31
201726_at	ELAVL1	1.778011916	1.82E-34	1.51E-31
224164_at	TPM3	-2.350651867	1.86E-34	1.51E-31
207157_s_at	GNG5	1.70995037	1.87E-34	1.51E-31
200665_s_at	SPARC	2.29620369	2.97E-34	2.35E-31
1553357_at	FGF13	-1.625653793	3.35E-34	2.62E-31
219425_at	SULT4A1	-2.664549947	5.00E-34	3.85E-31
210471_s_at	KCNAB1	-2.377489517	5.42E-34	4.11E-31
213421_x_at	PRSS3	-1.677564976	5.49E-34	4.11E-31
213219_at	ADCY2	-2.755696762	6.58E-34	4.79E-31
202189_x_at	PTBP1	1.962892766	7.15E-34	5.13E-31
219461_at	PAK6	-2.560462294	7.55E-34	5.35E-31
215149_at	AJAP1	-1.994291412	8.10E-34	5.67E-31
205852_at	CDK5R2	-2.146522249	8.61E-34	5.94E-31
206678_at	GABRA1	-3.4797252	1.03E-33	7.01E-31
1554500_a_at	RGS7	-2.875139377	1.05E-33	7.01E-31
201645_at	TNC	4.082175388	1.06E-33	7.01E-31
232720_at	LINGO2	-2.123321798	1.13E-33	7.39E-31
239290_at	FRMPD4	-1.935971304	1.15E-33	7.47E-31
207299_s_at	GRM1	-2.744975839	1.18E-33	7.53E-31
206161_s_at	SYT5	-1.789575331	1.22E-33	7.62E-31
1552715_a_at	RXFP1	-2.213878477	1.23E-33	7.62E-31
226101_at	PRKCE	-2.317817512	1.23E-33	7.62E-31
213920_at	CUX2	-3.467300553	1.29E-33	7.90E-31
238966_at	CELF4	-3.587793103	1.35E-33	8.04E-31
1557181_s_at	C11orf87	-3.642898363	1.35E-33	8.04E-31
236532_at	C11orf87	-3.504397768	1.39E-33	8.23E-31
213368_x_at	PPFIA3	-1.228742326	1.42E-33	8.28E-31
239095_at	GRIN2B	-1.653114085	1.45E-33	8.37E-31
211270_x_at	PTBP1	2.006322413	1.86E-33	1.07E-30
214044_at	RYR2	-3.44085382	2.12E-33	1.20E-30
242410_s_at	CACNA1E	-3.06274964	2.26E-33	1.27E-30
200859_x_at	FLNA	2.351957294	2.30E-33	1.28E-30
222900_at	NRIP3	-1.734996048	2.35E-33	1.29E-30
225792_at	HOOK1	-3.043711105	2.44E-33	1.32E-30
204586_at	BSN	-3.032967396	2.54E-33	1.35E-30
220795_s_at	BEGAIN	-1.826094104	2.54E-33	1.35E-30
230644_at	LRFN5	-3.014385349	2.56E-33	1.35E-30
243357_at	NEGR1	-2.885824385	2.59E-33	1.35E-30
232411_at	KCNJ6	-3.115734803	2.73E-33	1.41E-30
229770_at	GLT1D1	-1.682545145	2.79E-33	1.43E-30
220359_s_at	ARPP21	-4.103862447	2.84E-33	1.43E-30
233220_at	GRIN3A	-1.83058578	2.85E-33	1.43E-30
1553422_s_at	RBFOX1	-2.967172211	2.90E-33	1.44E-30
203159_at	GLS	-2.596867696	3.03E-33	1.49E-30
228262_at	MAP7D2	-2.374959569	3.19E-33	1.56E-30
237509_at	LINC01616	-2.555962952	3.29E-33	1.58E-30
206849_at	GABRG2	-3.216287546	3.31E-33	1.58E-30
205414_s_at	ARHGAP44	-2.684548107	3.32E-33	1.58E-30
219660_s_at	ATP8A2	-1.913438993	3.39E-33	1.59E-30
238778_at	MPP7	-2.202515652	3.47E-33	1.62E-30
206780_at	GAD2	-2.401168271	3.58E-33	1.65E-30
244170_at	RAB3C	-2.867541529	3.88E-33	1.78E-30
207149_at	CDH12	-2.764632766	4.04E-33	1.82E-30
210675_s_at	PTPRR	-2.363502882	4.05E-33	1.82E-30
233002_at	PPP4R4	-3.867986526	4.20E-33	1.86E-30
236289_at	LOC100506563	-1.383455738	4.74E-33	2.08E-30
242372_s_at	SLC60A1	-2.879856451	6.44E-33	2.81E-30
233972_s_at	FEZF2	-1.845724001	6.65E-33	2.87E-30
227824_at	PRKCB	-2.305153605	6.89E-33	2.95E-30
219365_s_at	CAMKV	-2.062232761	7.46E-33	3.17E-30
235083_at	LINC01106	-1.511500179	7.79E-33	3.29E-30
214956_at	AAK1	-3.148967094	8.78E-33	3.68E-30
202718_at	IGFBP2	4.310675454	9.87E-33	4.10E-30
235781_at	CACNA1B	-2.905417546	1.01E-32	4.15E-30
210721_s_at	PAK5	-3.191856335	1.02E-32	4.17E-30
220025_at	TBR1	-1.908905984	1.27E-32	5.15E-30
242286_at	GRIN2A	-3.559428953	1.28E-32	5.15E-30
214230_at	CDC42	-3.281687676	1.41E-32	5.59E-30
232275_s_at	HS6ST3	-2.421443374	1.41E-32	5.59E-30
1564841_at	GABRA2	-2.880112414	1.45E-32	5.70E-30
214652_at	DRD1	-1.576101385	1.55E-32	6.05E-30
207307_at	HTR2C	-2.541617245	1.67E-32	6.47E-30
232636_at	SLITRK4	-3.048900032	1.70E-32	6.53E-30
214293_at	SEPTIN11	-2.505185601	1.72E-32	6.59E-30
207035_at	SLC30A3	-1.28343048	1.75E-32	6.64E-30
